enginesize,curbweight,horsepower,carwidth,drivewheel,highwaympg,citympg,enginelocation,fuelsystem,carlength,price
122,2535,88,64.6,1,30,24,0,1,174.6,8921.0
164,2710,121,64.8,2,28,21,0,5,176.8,20970.0
194,2756,207,65.0,2,25,17,1,5,168.9,34028.0
181,3296,152,66.5,1,22,17,0,5,184.6,14399.0
141,2935,114,67.2,2,28,24,0,5,188.8,15985.0
110,2275,56,64.4,1,47,38,0,3,166.3,7788.0
120,2324,97,65.2,1,34,27,0,1,173.4,8949.0
122,2328,88,65.4,1,32,25,0,1,173.0,8499.0
109,2300,100,65.5,1,32,26,0,5,171.7,9995.0
141,2912,114,67.2,2,28,23,0,5,188.8,12940.0
164,2765,121,64.8,2,28,21,0,5,176.8,21105.0
156,2833,145,66.3,1,24,19,0,6,173.2,12629.0
171,3016,161,67.7,2,24,19,0,5,183.5,15998.0
109,2209,85,65.5,1,34,27,0,5,171.7,7975.0
90,1909,70,63.6,1,43,38,0,1,155.9,8916.5
152,3197,95,68.4,2,33,28,0,3,186.7,13200.0
92,2024,76,63.9,1,34,30,0,0,157.1,7295.0
98,2300,112,64.0,2,29,26,0,5,168.7,9538.0
136,2661,110,66.9,1,24,19,0,5,180.2,13295.0
110,2275,56,64.4,1,36,34,0,3,166.3,7898.0
152,3252,95,68.4,2,33,28,0,3,186.7,16900.0
92,2280,62,63.6,1,37,31,0,1,169.7,6918.0
173,3012,134,68.9,2,23,18,0,5,188.8,21485.0
90,1918,68,63.8,1,41,37,0,1,157.3,5572.0
130,3045,162,67.2,2,22,17,0,5,188.8,18420.0
140,2910,175,68.0,2,24,19,0,5,178.4,16503.0
90,1876,68,63.8,1,41,37,0,1,157.3,5572.0
97,1918,69,63.8,1,37,31,0,1,165.3,6649.0
109,2275,85,65.5,1,34,27,0,5,171.7,8495.0
152,2823,154,65.5,2,26,19,0,5,171.2,16500.0
183,3770,123,71.7,2,25,22,0,3,202.6,31600.0
122,2365,88,65.4,1,32,25,0,1,172.4,6989.0
92,3110,62,63.6,0,32,27,0,1,169.7,8778.0
136,2844,110,71.4,1,25,19,0,5,192.7,17710.0
146,2540,116,65.6,2,30,24,0,5,176.2,8449.0
130,2548,111,64.1,2,27,21,0,5,168.8,13495.0
98,2094,70,64.4,1,47,38,0,1,166.3,7738.0
92,1944,68,64.4,1,38,31,0,1,157.3,6189.0
120,3285,95,68.4,2,24,19,0,5,198.9,16695.0
140,2670,120,66.1,2,27,19,0,5,175.0,18280.0
70,2380,101,65.7,2,23,17,0,2,169.0,10945.0
141,2952,114,68.9,2,28,23,0,5,188.8,16845.0
110,2403,116,65.4,1,30,23,0,6,172.4,9279.0
109,2254,90,64.2,1,29,24,0,5,159.3,11595.0
119,2734,90,65.2,2,29,24,0,7,172.6,11048.0
304,3715,184,72.0,2,16,14,0,5,199.2,45400.0
97,1938,69,63.8,1,37,31,0,1,165.3,6849.0
108,2420,82,65.4,0,29,23,0,1,173.6,8013.0
110,2403,116,65.4,1,30,23,0,6,172.4,9279.0
145,3217,106,68.9,2,27,26,0,3,188.8,22470.0
108,2395,101,64.8,2,29,23,0,5,176.8,16430.0
79,1837,60,64.0,1,42,38,0,0,150.0,5399.0
156,2921,145,66.3,1,24,19,0,6,173.2,14869.0
98,2122,70,64.4,1,34,28,0,1,166.3,8358.0
120,2302,97,65.2,1,34,27,0,1,173.4,9549.0
151,2778,143,68.3,2,27,19,0,5,168.9,22018.0
98,2128,102,63.8,1,30,24,0,5,157.3,7957.0
194,2756,207,65.0,2,25,17,1,5,168.9,32528.0
131,3053,160,67.9,0,22,16,0,5,178.2,17859.167
122,2414,92,66.5,1,32,27,0,5,175.6,9988.0
181,3071,160,67.9,2,25,19,0,5,170.7,17199.0
97,2319,68,65.5,1,42,37,0,3,171.7,9495.0
121,2758,110,66.5,1,28,21,0,5,186.6,15510.0
120,3075,95,68.4,2,24,19,0,5,186.7,15580.0
109,2563,88,66.9,1,31,25,0,5,183.1,12290.0
122,2425,84,66.5,1,32,26,0,1,177.8,11245.0
209,3230,182,66.9,2,22,16,0,5,189.0,30760.0
110,2465,101,65.2,1,28,24,0,5,175.4,12945.0
146,2536,116,65.6,2,30,24,0,5,176.2,9639.0
120,3230,97,68.4,2,24,19,0,5,198.9,12440.0
110,2370,116,65.4,1,30,23,0,6,173.0,9959.0
91,1905,68,64.2,1,38,31,0,1,159.1,6795.0
90,1989,68,63.8,1,38,31,0,1,157.3,7609.0
92,1918,68,64.4,1,41,37,0,1,157.3,5389.0
111,2337,78,61.8,2,29,24,0,1,170.7,6785.0
90,1967,68,63.8,1,38,31,0,1,157.3,6229.0
109,2337,102,66.2,1,30,24,0,5,176.6,13950.0
110,2480,73,66.5,1,33,30,0,3,175.6,10698.0
326,3950,262,70.6,2,17,13,0,5,191.7,36000.0
108,2650,111,65.4,0,23,23,0,5,173.6,11694.0
132,2460,90,66.6,1,31,23,0,5,176.8,9895.0
141,3034,114,67.2,2,28,23,0,5,188.8,13415.0
92,1713,58,63.9,1,54,49,0,0,144.6,6479.0
90,1989,68,63.8,1,38,31,0,1,167.3,6692.0
120,3075,97,68.4,2,24,19,0,5,186.7,16630.0
171,3131,156,66.5,2,24,20,0,5,187.8,15690.0
131,3086,140,71.4,1,20,17,0,5,192.7,23875.0
122,2410,84,66.5,1,32,26,0,1,177.8,8495.0
194,2800,207,65.0,2,25,17,1,5,168.9,37028.0
130,2548,111,64.1,2,27,21,0,5,168.8,16500.0
70,2385,101,65.7,2,23,17,0,2,169.0,13645.0
90,1876,68,63.8,1,38,31,0,1,157.3,6377.0
122,2385,84,66.5,1,32,26,0,1,177.8,10595.0
122,2443,64,66.5,1,42,36,0,3,177.8,10795.0
136,2954,110,71.4,1,25,19,0,5,192.7,18920.0
141,3049,160,68.8,2,25,19,0,5,188.8,19045.0
108,2145,82,65.4,1,37,32,0,1,172.0,7126.0
122,2405,88,65.4,1,32,25,0,1,172.4,8189.0
97,1971,69,63.8,1,37,31,0,1,165.3,7499.0
183,3750,123,70.3,2,25,22,0,3,190.9,28248.0
91,1890,68,64.2,1,31,30,0,1,159.1,5195.0
108,2190,82,65.4,1,33,28,0,1,172.0,7775.0
98,2109,70,64.4,1,37,30,0,1,166.3,7198.0
98,2081,70,64.4,1,37,30,0,1,166.3,6938.0
108,2120,73,63.6,1,31,26,0,1,157.9,7053.0
108,2290,82,65.4,1,32,28,0,1,173.5,7463.0
181,3095,152,66.5,1,22,17,0,5,181.7,13499.0
90,1909,70,63.6,1,43,38,0,1,158.8,6575.0
171,2976,161,67.7,2,24,20,0,5,183.5,16558.0
90,1989,68,63.8,1,38,31,0,1,157.3,6692.0
121,2707,110,66.5,1,28,21,0,5,186.6,15040.0
234,3740,155,71.7,2,18,16,0,5,202.6,34184.0
203,3366,288,72.3,2,28,17,0,5,175.7,31400.5
108,2385,82,65.4,0,25,24,0,1,172.0,9233.0
97,2579,68,66.9,1,38,33,0,3,180.2,13845.0
98,2145,102,63.8,1,30,24,0,6,157.3,7689.0
121,2695,110,66.5,1,28,21,0,5,186.6,12170.0
121,2847,160,66.5,1,26,19,0,5,186.6,18620.0
234,3685,155,70.5,2,18,16,0,5,180.3,35056.0
108,2240,73,63.8,0,31,26,0,1,157.3,7603.0
110,2236,86,65.2,1,33,27,0,0,167.5,7895.0
